User,Action,Article,Day,Origin
1,read,987,1,
1,received,648,1,5
1,read,648,1,5
1,received,1677,1,29
1,read,1677,1,29
1,received,1845,2,27
1,read,1845,2,27
1,received,381,3,9
1,read,381,3,9
1,read,892,4,
1,received,1122,4,5
1,read,1122,4,5
1,received,1389,5,0
1,read,1389,5,0
1,received,1781,5,29
1,read,1781,5,29
1,read,1838,6,
1,received,578,7,20
1,read,578,7,20
1,received,221,8,24
1,read,221,8,24
1,received,86,9,23
1,read,86,9,23
1,received,1125,10,0
1,read,1125,10,0
1,received,74,10,5
1,read,74,10,5
1,received,289,12,23
1,read,289,12,23
1,received,1743,12,24
1,read,1743,12,24
1,received,676,12,29
1,read,676,12,29
1,received,1557,13,29
1,read,1557,13,29
1,received,36,16,20
1,read,36,16,20
1,received,1089,16,23
1,read,1089,16,23
1,received,466,16,29
1,read,466,16,29
1,received,739,18,29
1,read,739,18,29
1,received,1628,19,5
1,read,1628,19,5
1,received,1717,19,20
1,read,1717,19,20
1,received,1328,19,24
1,read,1328,19,24
1,received,1700,19,27
1,read,1700,19,27
1,received,526,20,23
1,read,526,20,23
1,received,1486,20,29
1,read,1486,20,29
1,received,992,21,24
1,read,992,21,24
1,received,799,22,20
1,read,799,22,20
1,received,1747,22,29
1,read,1747,22,29
1,read,983,23,
1,received,1361,23,19
1,read,1361,23,19
1,received,1637,24,19
1,read,1637,24,19
1,received,1186,25,0
1,read,1186,25,0
1,received,1477,25,23
1,read,1477,25,23
1,received,82,26,6
1,read,82,26,6
1,received,597,26,13
1,read,597,26,13
1,received,1424,26,20
1,read,1424,26,20
1,read,1278,27,
1,received,1940,27,27
1,read,1940,27,27
1,received,1727,27,29
1,read,1727,27,29
1,received,560,28,24
1,read,560,28,24
1,received,1503,29,13
1,read,1503,29,13
1,received,1472,30,5
1,read,1472,30,5
1,received,1865,30,6
1,read,1865,30,6
27,received,987,1,1
27,read,987,1,1
27,read,1845,2,
27,received,892,4,1
27,read,892,4,1
27,received,87,4,22
27,read,87,4,22
27,received,1389,5,0
27,read,1389,5,0
27,received,1616,5,26
27,read,1616,5,26
27,received,1838,6,1
27,read,1838,6,1
27,received,62,8,22
27,read,62,8,22
27,received,1125,10,0
27,read,1125,10,0
27,received,1015,16,22
27,read,1015,16,22
27,received,725,18,22
27,read,725,18,22
27,read,1700,19,
27,received,983,23,1
27,read,983,23,1
27,received,1468,23,26
27,read,1468,23,26
27,received,1186,25,0
27,read,1186,25,0
27,received,1852,26,22
27,read,1852,26,22
27,received,1278,27,1
27,read,1278,27,1
27,read,1940,27,
27,read,983,28,
27,received,1818,29,3
27,read,1818,29,3
0,received,987,1,1
0,read,987,1,1
0,received,1967,1,8
0,read,1967,1,8
0,received,1845,2,27
0,read,1845,2,27
0,received,1439,3,7
0,read,1439,3,7
0,received,381,3,9
0,read,381,3,9
0,received,892,4,1
0,read,892,4,1
0,received,1044,4,7
0,read,1044,4,7
0,read,1389,5,
0,received,1838,6,1
0,read,1838,6,1
0,received,1046,8,7
0,read,1046,8,7
0,received,1192,8,8
0,read,1192,8,8
0,received,779,9,4
0,read,779,9,4
0,read,1125,10,
0,received,1623,12,7
0,read,1623,12,7
0,received,1655,14,7
0,read,1655,14,7
0,received,1700,19,27
0,read,1700,19,27
0,received,205,22,4
0,read,205,22,4
0,received,383,22,8
0,read,383,22,8
0,received,983,23,1
0,read,983,23,1
0,received,1361,23,19
0,read,1361,23,19
0,received,1637,24,19
0,read,1637,24,19
0,read,1186,25,
0,received,562,25,7
0,read,562,25,7
0,received,259,25,15
0,read,259,25,15
0,received,82,26,6
0,read,82,26,6
0,received,1278,27,1
0,read,1278,27,1
0,received,1940,27,27
0,read,1940,27,27
0,received,1662,29,8
0,read,1662,29,8
0,received,1865,30,6
0,read,1865,30,6
23,received,987,1,1
23,read,987,1,1
23,received,1967,1,8
23,read,1967,1,8
23,received,1439,3,7
23,read,1439,3,7
23,received,1997,3,11
23,read,1997,3,11
23,received,892,4,1
23,read,892,4,1
23,received,1044,4,7
23,read,1044,4,7
23,received,1838,6,1
23,read,1838,6,1
23,received,578,7,20
23,read,578,7,20
23,received,1046,8,7
23,read,1046,8,7
23,received,1192,8,8
23,read,1192,8,8
23,read,86,9,
23,received,1623,12,7
23,read,1623,12,7
23,received,1089,12,16
23,read,1089,12,16
23,read,289,12,
23,received,1655,14,7
23,read,1655,14,7
23,received,599,16,11
23,read,599,16,11
23,read,1089,16,
23,received,1673,16,25
23,read,1673,16,25
23,received,732,18,25
23,read,732,18,25
23,read,526,20,
23,received,28,20,25
23,read,28,20,25
23,received,383,22,8
23,read,383,22,8
23,received,983,23,1
23,read,983,23,1
23,received,1802,24,25
23,read,1802,24,25
23,received,562,25,7
23,read,562,25,7
23,received,259,25,15
23,read,259,25,15
23,read,1477,25,
23,received,82,26,6
23,read,82,26,6
23,received,1424,26,20
23,read,1424,26,20
23,received,1278,27,1
23,read,1278,27,1
23,received,1662,29,8
23,read,1662,29,8
23,received,1865,30,6
23,read,1865,30,6
6,received,987,1,1
6,read,987,1,1
6,received,1439,3,7
6,read,1439,3,7
6,received,970,3,28
6,read,970,3,28
6,received,892,4,1
6,read,892,4,1
6,received,1044,4,7
6,read,1044,4,7
6,received,1389,5,0
6,read,1389,5,0
6,received,263,5,28
6,read,263,5,28
6,received,1838,6,1
6,read,1838,6,1
6,received,1046,8,7
6,read,1046,8,7
6,received,1647,9,10
6,read,1647,9,10
6,received,86,9,23
6,read,86,9,23
6,received,1125,10,0
6,read,1125,10,0
6,received,874,10,18
6,read,874,10,18
6,received,1623,12,7
6,read,1623,12,7
6,received,1089,12,16
6,read,1089,12,16
6,received,289,12,23
6,read,289,12,23
6,received,1655,14,7
6,read,1655,14,7
6,received,1299,16,28
6,read,1299,16,28
6,received,457,19,28
6,read,457,19,28
6,received,526,20,23
6,read,526,20,23
6,received,786,21,28
6,read,786,21,28
6,received,983,23,1
6,read,983,23,1
6,received,1186,25,0
6,read,1186,25,0
6,received,562,25,7
6,read,562,25,7
6,received,1170,25,10
6,read,1170,25,10
6,received,1477,25,23
6,read,1477,25,23
6,read,82,26,
6,received,1023,26,28
6,read,1023,26,28
6,received,1278,27,1
6,read,1278,27,1
6,received,924,27,18
6,read,924,27,18
6,received,1818,29,3
6,read,1818,29,3
6,read,1865,30,
13,received,987,1,1
13,read,987,1,1
13,received,648,1,5
13,read,648,1,5
13,received,1967,1,8
13,read,1967,1,8
13,received,1677,1,29
13,read,1677,1,29
13,received,1439,3,7
13,read,1439,3,7
13,received,892,4,1
13,read,892,4,1
13,received,1122,4,5
13,read,1122,4,5
13,received,1044,4,7
13,read,1044,4,7
13,received,1616,5,26
13,read,1616,5,26
13,received,1781,5,29
13,read,1781,5,29
13,received,1838,6,1
13,read,1838,6,1
13,received,1046,8,7
13,read,1046,8,7
13,received,1192,8,8
13,read,1192,8,8
13,received,779,9,4
13,read,779,9,4
13,received,74,10,5
13,read,74,10,5
13,received,1623,12,7
13,read,1623,12,7
13,received,676,12,29
13,read,676,12,29
13,received,182,13,17
13,read,182,13,17
13,received,1557,13,29
13,read,1557,13,29
13,received,1655,14,7
13,read,1655,14,7
13,received,466,16,29
13,read,466,16,29
13,received,739,18,29
13,read,739,18,29
13,received,1628,19,5
13,read,1628,19,5
13,received,1894,20,12
13,read,1894,20,12
13,received,1486,20,29
13,read,1486,20,29
13,received,205,22,4
13,read,205,22,4
13,received,383,22,8
13,read,383,22,8
13,received,1747,22,29
13,read,1747,22,29
13,received,983,23,1
13,read,983,23,1
13,received,1468,23,26
13,read,1468,23,26
13,received,647,24,12
13,read,647,24,12
13,received,562,25,7
13,read,562,25,7
13,received,82,26,6
13,read,82,26,6
13,read,597,26,
13,received,1278,27,1
13,read,1278,27,1
13,received,1727,27,29
13,read,1727,27,29
13,received,347,29,4
13,read,347,29,4
13,received,1662,29,8
13,read,1662,29,8
13,read,1503,29,
13,received,1472,30,5
13,read,1472,30,5
13,received,1865,30,6
13,read,1865,30,6
5,received,987,1,1
5,read,987,1,1
5,read,648,1,
5,received,892,4,1
5,read,892,4,1
5,read,1122,4,
5,received,1838,6,1
5,read,1838,6,1
5,received,578,7,20
5,read,578,7,20
5,received,1647,9,10
5,read,1647,9,10
5,read,74,10,
5,received,1089,12,16
5,read,1089,12,16
5,received,182,13,17
5,read,182,13,17
5,received,36,16,20
5,read,36,16,20
5,read,1628,19,
5,received,1717,19,20
5,read,1717,19,20
5,received,799,22,20
5,read,799,22,20
5,received,983,23,1
5,read,983,23,1
5,received,1170,25,10
5,read,1170,25,10
5,received,1424,26,20
5,read,1424,26,20
5,received,1278,27,1
5,read,1278,27,1
5,received,1818,29,3
5,read,1818,29,3
5,received,1503,29,13
5,read,1503,29,13
5,read,1472,30,
9,received,987,1,1
9,read,987,1,1
9,received,648,1,5
9,read,648,1,5
9,read,381,3,
9,received,892,4,1
9,read,892,4,1
9,received,1122,4,5
9,read,1122,4,5
9,received,87,4,22
9,read,87,4,22
9,received,1389,5,0
9,read,1389,5,0
9,received,1616,5,26
9,read,1616,5,26
9,received,1838,6,1
9,read,1838,6,1
9,received,1046,8,7
9,read,1046,8,7
9,received,62,8,22
9,read,62,8,22
9,received,221,8,24
9,read,221,8,24
9,received,779,9,4
9,read,779,9,4
9,received,1125,10,0
9,read,1125,10,0
9,received,74,10,5
9,read,74,10,5
9,received,1743,12,24
9,read,1743,12,24
9,received,1015,16,22
9,read,1015,16,22
9,received,725,18,22
9,read,725,18,22
9,received,1628,19,5
9,read,1628,19,5
9,received,1328,19,24
9,read,1328,19,24
9,received,992,21,24
9,read,992,21,24
9,received,205,22,4
9,read,205,22,4
9,received,983,23,1
9,read,983,23,1
9,received,1468,23,26
9,read,1468,23,26
9,received,1186,25,0
9,read,1186,25,0
9,received,1852,26,22
9,read,1852,26,22
9,received,1278,27,1
9,read,1278,27,1
9,received,560,28,24
9,read,560,28,24
9,received,347,29,4
9,read,347,29,4
9,received,1472,30,5
9,read,1472,30,5
19,received,987,1,1
19,read,987,1,1
19,received,970,3,28
19,read,970,3,28
19,received,892,4,1
19,read,892,4,1
19,received,87,4,22
19,read,87,4,22
19,received,1389,5,0
19,read,1389,5,0
19,received,263,5,28
19,read,263,5,28
19,received,1838,6,1
19,read,1838,6,1
19,received,62,8,22
19,read,62,8,22
19,received,221,8,24
19,read,221,8,24
19,received,1125,10,0
19,read,1125,10,0
19,received,1743,12,24
19,read,1743,12,24
19,received,1015,16,22
19,read,1015,16,22
19,received,1299,16,28
19,read,1299,16,28
19,received,725,18,22
19,read,725,18,22
19,received,1328,19,24
19,read,1328,19,24
19,received,457,19,28
19,read,457,19,28
19,received,992,21,24
19,read,992,21,24
19,received,786,21,28
19,read,786,21,28
19,received,983,23,1
19,read,983,23,1
19,read,1361,23,
19,read,1637,24,
19,received,1186,25,0
19,read,1186,25,0
19,received,259,25,15
19,read,259,25,15
19,received,597,26,13
19,read,597,26,13
19,received,1852,26,22
19,read,1852,26,22
19,received,1023,26,28
19,read,1023,26,28
19,received,1278,27,1
19,read,1278,27,1
19,received,560,28,24
19,read,560,28,24
19,received,1503,29,13
19,read,1503,29,13
20,received,987,1,1
20,read,987,1,1
20,received,648,1,5
20,read,648,1,5
20,received,1439,3,7
20,read,1439,3,7
20,received,892,4,1
20,read,892,4,1
20,received,1122,4,5
20,read,1122,4,5
20,received,1044,4,7
20,read,1044,4,7
20,received,1838,6,1
20,read,1838,6,1
20,read,578,7,
20,received,1046,8,7
20,read,1046,8,7
20,received,86,9,23
20,read,86,9,23
20,received,74,10,5
20,read,74,10,5
20,received,1623,12,7
20,read,1623,12,7
20,received,289,12,23
20,read,289,12,23
20,received,1655,14,7
20,read,1655,14,7
20,read,36,16,
20,received,1628,19,5
20,read,1628,19,5
20,read,1717,19,
20,received,526,20,23
20,read,526,20,23
20,read,799,22,
20,received,983,23,1
20,read,983,23,1
20,received,562,25,7
20,read,562,25,7
20,received,1477,25,23
20,read,1477,25,23
20,read,1424,26,
20,received,1278,27,1
20,read,1278,27,1
20,received,924,27,18
20,read,924,27,18
20,received,1472,30,5
20,read,1472,30,5
24,received,987,1,1
24,read,987,1,1
24,received,1439,3,7
24,read,1439,3,7
24,received,892,4,1
24,read,892,4,1
24,received,1044,4,7
24,read,1044,4,7
24,received,1616,5,26
24,read,1616,5,26
24,received,1838,6,1
24,read,1838,6,1
24,received,1046,8,7
24,read,1046,8,7
24,read,221,8,
24,received,779,9,4
24,read,779,9,4
24,received,1647,9,10
24,read,1647,9,10
24,received,1623,12,7
24,read,1623,12,7
24,received,1089,12,16
24,read,1089,12,16
24,read,1743,12,
24,received,182,13,17
24,read,182,13,17
24,received,1655,14,7
24,read,1655,14,7
24,received,1673,16,25
24,read,1673,16,25
24,received,732,18,25
24,read,732,18,25
24,read,1328,19,
24,received,28,20,25
24,read,28,20,25
24,read,992,21,
24,received,205,22,4
24,read,205,22,4
24,received,983,23,1
24,read,983,23,1
24,received,1361,23,19
24,read,1361,23,19
24,received,1468,23,26
24,read,1468,23,26
24,received,1637,24,19
24,read,1637,24,19
24,received,1802,24,25
24,read,1802,24,25
24,received,562,25,7
24,read,562,25,7
24,received,1170,25,10
24,read,1170,25,10
24,received,1278,27,1
24,read,1278,27,1
24,read,560,28,
24,received,347,29,4
24,read,347,29,4
29,received,987,1,1
29,read,987,1,1
29,read,1677,1,
29,received,1997,3,11
29,read,1997,3,11
29,received,970,3,28
29,read,970,3,28
29,received,892,4,1
29,read,892,4,1
29,received,263,5,28
29,read,263,5,28
29,read,1781,5,
29,received,1838,6,1
29,read,1838,6,1
29,received,1647,9,10
29,read,1647,9,10
29,read,676,12,
29,read,1557,13,
29,received,599,16,11
29,read,599,16,11
29,received,1299,16,28
29,read,1299,16,28
29,read,466,16,
29,read,739,18,
29,received,457,19,28
29,read,457,19,28
29,read,1486,20,
29,received,786,21,28
29,read,786,21,28
29,read,1747,22,
29,received,983,23,1
29,read,983,23,1
29,received,1170,25,10
29,read,1170,25,10
29,received,259,25,15
29,read,259,25,15
29,received,597,26,13
29,read,597,26,13
29,received,1023,26,28
29,read,1023,26,28
29,received,1278,27,1
29,read,1278,27,1
29,read,1727,27,
29,received,1503,29,13
29,read,1503,29,13
17,received,648,1,5
17,read,648,1,5
17,received,1122,4,5
17,read,1122,4,5
17,received,578,7,20
17,read,578,7,20
17,received,74,10,5
17,read,74,10,5
17,received,874,10,18
17,read,874,10,18
17,received,1089,12,16
17,read,1089,12,16
17,read,182,13,
17,received,36,16,20
17,read,36,16,20
17,received,1628,19,5
17,read,1628,19,5
17,received,1717,19,20
17,read,1717,19,20
17,received,1328,19,24
17,read,1328,19,24
17,received,799,22,20
17,read,799,22,20
17,received,259,25,15
17,read,259,25,15
17,received,597,26,13
17,read,597,26,13
17,received,1424,26,20
17,read,1424,26,20
17,received,924,27,18
17,read,924,27,18
17,received,1503,29,13
17,read,1503,29,13
17,received,1472,30,5
17,read,1472,30,5
10,received,648,1,5
10,read,648,1,5
10,received,1122,4,5
10,read,1122,4,5
10,received,1616,5,26
10,read,1616,5,26
10,received,221,8,24
10,read,221,8,24
10,read,1647,9,
10,received,74,10,5
10,read,74,10,5
10,received,1743,12,24
10,read,1743,12,24
10,received,466,16,29
10,read,466,16,29
10,received,739,18,29
10,read,739,18,29
10,received,1628,19,5
10,read,1628,19,5
10,received,1328,19,24
10,read,1328,19,24
10,received,992,21,24
10,read,992,21,24
10,received,1468,23,26
10,read,1468,23,26
10,read,1170,25,
10,received,259,25,15
10,read,259,25,15
10,received,82,26,6
10,read,82,26,6
10,received,560,28,24
10,read,560,28,24
10,received,1818,29,3
10,read,1818,29,3
10,received,1472,30,5
10,read,1472,30,5
10,received,1865,30,6
10,read,1865,30,6
3,received,648,1,5
3,read,648,1,5
3,received,1845,2,27
3,read,1845,2,27
3,received,1122,4,5
3,read,1122,4,5
3,received,1647,9,10
3,read,1647,9,10
3,received,74,10,5
3,read,74,10,5
3,received,1673,16,25
3,read,1673,16,25
3,received,732,18,25
3,read,732,18,25
3,received,1628,19,5
3,read,1628,19,5
3,received,1700,19,27
3,read,1700,19,27
3,received,28,20,25
3,read,28,20,25
3,received,1361,23,19
3,read,1361,23,19
3,received,1637,24,19
3,read,1637,24,19
3,received,1802,24,25
3,read,1802,24,25
3,received,1170,25,10
3,read,1170,25,10
3,received,259,25,15
3,read,259,25,15
3,received,82,26,6
3,read,82,26,6
3,received,1940,27,27
3,read,1940,27,27
3,received,983,28,27
3,read,983,28,27
3,read,1818,29,
3,received,1472,30,5
3,read,1472,30,5
14,received,648,1,5
14,read,648,1,5
14,received,1845,2,27
14,read,1845,2,27
14,received,1997,3,11
14,read,1997,3,11
14,received,970,3,28
14,read,970,3,28
14,received,1122,4,5
14,read,1122,4,5
14,received,263,5,28
14,read,263,5,28
14,received,578,7,20
14,read,578,7,20
14,received,86,9,23
14,read,86,9,23
14,received,74,10,5
14,read,74,10,5
14,received,289,12,23
14,read,289,12,23
14,received,599,16,11
14,read,599,16,11
14,received,36,16,20
14,read,36,16,20
14,received,1089,16,23
14,read,1089,16,23
14,received,1299,16,28
14,read,1299,16,28
14,received,1628,19,5
14,read,1628,19,5
14,received,1717,19,20
14,read,1717,19,20
14,received,1700,19,27
14,read,1700,19,27
14,received,457,19,28
14,read,457,19,28
14,received,526,20,23
14,read,526,20,23
14,received,786,21,28
14,read,786,21,28
14,received,799,22,20
14,read,799,22,20
14,received,1477,25,23
14,read,1477,25,23
14,received,1424,26,20
14,read,1424,26,20
14,received,1023,26,28
14,read,1023,26,28
14,received,1940,27,27
14,read,1940,27,27
14,received,983,28,27
14,read,983,28,27
14,received,1472,30,5
14,read,1472,30,5
16,received,648,1,5
16,read,648,1,5
16,received,1967,1,8
16,read,1967,1,8
16,received,1845,2,27
16,read,1845,2,27
16,received,1997,3,11
16,read,1997,3,11
16,received,1122,4,5
16,read,1122,4,5
16,received,1389,5,0
16,read,1389,5,0
16,received,1192,8,8
16,read,1192,8,8
16,received,221,8,24
16,read,221,8,24
16,received,1125,10,0
16,read,1125,10,0
16,received,74,10,5
16,read,74,10,5
16,read,1089,12,
16,received,289,12,23
16,read,289,12,23
16,received,1743,12,24
16,read,1743,12,24
16,received,182,13,17
16,read,182,13,17
16,received,599,16,11
